Exporting Country,Year,Exports in Millions,Importing Country
UAE,1997,,Jordan
Ukraine,1997,,Jordan
United Kingdom,1997,,Jordan
United States,1997,77,Jordan
Unknown supplier(s),1997,,Jordan
Australia,1998,,Jordan
Austria,1998,,Jordan
Belgium,1998,,Jordan
Brazil,1998,,Jordan
Canada,1998,,Jordan
China,1998,,Jordan
France,1998,,Jordan
Germany (FRG),1998,,Jordan
Iraq,1998,,Jordan
Israel,1998,,Jordan
Italy,1998,,Jordan
Netherlands,1998,,Jordan
Poland,1998,,Jordan
Russia,1998,,Jordan
South Africa,1998,,Jordan
South Korea,1998,,Jordan
Soviet Union,1998,,Jordan
Spain,1998,,Jordan
Turkey,1998,,Jordan
UAE,1998,,Jordan
Ukraine,1998,,Jordan
United Kingdom,1998,,Jordan
United States,1998,247,Jordan
Unknown supplier(s),1998,,Jordan
Australia,1999,,Jordan
Austria,1999,,Jordan
Belgium,1999,,Jordan
Brazil,1999,,Jordan
Canada,1999,,Jordan
China,1999,,Jordan
France,1999,,Jordan
Germany (FRG),1999,,Jordan
Iraq,1999,,Jordan
Israel,1999,,Jordan
Italy,1999,,Jordan
Netherlands,1999,,Jordan
Poland,1999,,Jordan
Russia,1999,,Jordan
South Africa,1999,,Jordan
South Korea,1999,,Jordan
Soviet Union,1999,,Jordan
Spain,1999,,Jordan
Turkey,1999,20,Jordan
UAE,1999,,Jordan
Ukraine,1999,20,Jordan
United Kingdom,1999,18,Jordan
United States,1999,6,Jordan
Unknown supplier(s),1999,,Jordan
Australia,2000,,Jordan
Austria,2000,,Jordan
Belgium,2000,7,Jordan
Brazil,2000,,Jordan
Canada,2000,,Jordan
China,2000,,Jordan
France,2000,,Jordan
Germany (FRG),2000,,Jordan
Iraq,2000,,Jordan
Israel,2000,,Jordan
Italy,2000,,Jordan
Netherlands,2000,,Jordan
Poland,2000,,Jordan
Russia,2000,,Jordan
South Africa,2000,,Jordan
South Korea,2000,,Jordan
Soviet Union,2000,,Jordan
Spain,2000,,Jordan
Turkey,2000,,Jordan
UAE,2000,,Jordan
Ukraine,2000,20,Jordan
United Kingdom,2000,83,Jordan
United States,2000,22,Jordan
Unknown supplier(s),2000,,Jordan
Australia,2001,,Jordan
Austria,2001,,Jordan
Belgium,2001,17,Jordan
Brazil,2001,,Jordan
Canada,2001,,Jordan
China,2001,,Jordan
France,2001,,Jordan
Germany (FRG),2001,,Jordan
Iraq,2001,,Jordan
Israel,2001,,Jordan
Italy,2001,,Jordan
Netherlands,2001,,Jordan
Poland,2001,,Jordan
Russia,2001,8,Jordan
South Africa,2001,,Jordan
South Korea,2001,,Jordan
Soviet Union,2001,,Jordan
Spain,2001,,Jordan
Turkey,2001,,Jordan
UAE,2001,,Jordan
Ukraine,2001,,Jordan
United Kingdom,2001,114,Jordan
United States,2001,21,Jordan
Unknown supplier(s),2001,,Jordan
Australia,2002,,Jordan
Austria,2002,,Jordan
Belgium,2002,,Jordan
Brazil,2002,,Jordan
Canada,2002,,Jordan
China,2002,,Jordan
France,2002,,Jordan
Germany (FRG),2002,,Jordan
Iraq,2002,,Jordan
Israel,2002,,Jordan
Italy,2002,,Jordan
Netherlands,2002,,Jordan
Poland,2002,,Jordan
Russia,2002,,Jordan
South Africa,2002,,Jordan
South Korea,2002,,Jordan
Soviet Union,2002,,Jordan
Spain,2002,,Jordan
Turkey,2002,,Jordan
UAE,2002,,Jordan
Ukraine,2002,,Jordan
United Kingdom,2002,117,Jordan
United States,2002,15,Jordan
Unknown supplier(s),2002,0,Jordan
Australia,2003,,Jordan
Austria,2003,,Jordan
Belgium,2003,,Jordan
Brazil,2003,,Jordan
Canada,2003,2,Jordan
China,2003,,Jordan
France,2003,,Jordan
Germany (FRG),2003,11,Jordan
Iraq,2003,,Jordan
Israel,2003,,Jordan
Italy,2003,,Jordan
Netherlands,2003,,Jordan
Poland,2003,,Jordan
Russia,2003,,Jordan
South Africa,2003,32,Jordan
South Korea,2003,,Jordan
Soviet Union,2003,,Jordan
Spain,2003,12,Jordan
Turkey,2003,,Jordan
UAE,2003,,Jordan
Ukraine,2003,,Jordan
United Kingdom,2003,122,Jordan
United States,2003,102,Jordan
Unknown supplier(s),2003,,Jordan
Australia,2004,,Jordan
Austria,2004,,Jordan
Belgium,2004,,Jordan
Brazil,2004,,Jordan
Canada,2004,2,Jordan
China,2004,,Jordan
France,2004,,Jordan
Germany (FRG),2004,2,Jordan
Iraq,2004,,Jordan
Israel,2004,,Jordan
Italy,2004,,Jordan
Netherlands,2004,,Jordan
Poland,2004,,Jordan
Russia,2004,,Jordan
South Africa,2004,47,Jordan
South Korea,2004,,Jordan
Soviet Union,2004,,Jordan
Spain,2004,12,Jordan
Turkey,2004,,Jordan
UAE,2004,,Jordan
Ukraine,2004,,Jordan
United Kingdom,2004,69,Jordan
United States,2004,36,Jordan
Unknown supplier(s),2004,,Jordan
Australia,2005,,Jordan
Austria,2005,,Jordan
Belgium,2005,27,Jordan
Brazil,2005,,Jordan
Canada,2005,,Jordan
China,2005,8,Jordan
France,2005,,Jordan
Germany (FRG),2005,,Jordan
Iraq,2005,,Jordan
Israel,2005,,Jordan
Italy,2005,,Jordan
Netherlands,2005,,Jordan
Poland,2005,,Jordan
Russia,2005,,Jordan
South Africa,2005,,Jordan
South Korea,2005,,Jordan
Soviet Union,2005,,Jordan
Spain,2005,,Jordan
Turkey,2005,,Jordan
UAE,2005,9,Jordan
Ukraine,2005,,Jordan
United Kingdom,2005,,Jordan
United States,2005,5,Jordan
Unknown supplier(s),2005,,Jordan
Australia,2006,1,Jordan
Austria,2006,,Jordan
Belgium,2006,,Jordan
Brazil,2006,,Jordan
Canada,2006,,Jordan
China,2006,,Jordan
France,2006,8,Jordan
Germany (FRG),2006,5,Jordan
Iraq,2006,,Jordan
Israel,2006,,Jordan
Italy,2006,,Jordan
Netherlands,2006,,Jordan
Poland,2006,,Jordan
Russia,2006,,Jordan
South Africa,2006,23,Jordan
South Korea,2006,,Jordan
Soviet Union,2006,,Jordan
Spain,2006,8,Jordan
Turkey,2006,,Jordan
UAE,2006,,Jordan
Ukraine,2006,,Jordan
United Kingdom,2006,,Jordan
United States,2006,3,Jordan
Unknown supplier(s),2006,,Jordan
Australia,2007,,Jordan
Austria,2007,,Jordan
Belgium,2007,7,Jordan
Brazil,2007,,Jordan
Canada,2007,,Jordan
China,2007,,Jordan
France,2007,,Jordan
Germany (FRG),2007,5,Jordan
Iraq,2007,,Jordan
Israel,2007,,Jordan
Italy,2007,,Jordan
Netherlands,2007,,Jordan
Poland,2007,,Jordan
Russia,2007,,Jordan
South Africa,2007,,Jordan
South Korea,2007,,Jordan
Soviet Union,2007,,Jordan
Spain,2007,,Jordan
Turkey,2007,,Jordan
UAE,2007,,Jordan
Ukraine,2007,,Jordan
United Kingdom,2007,,Jordan
United States,2007,164,Jordan
Unknown supplier(s),2007,,Jordan
Australia,2008,,Jordan
Austria,2008,,Jordan
Belgium,2008,96,Jordan
Brazil,2008,,Jordan
Canada,2008,,Jordan
China,2008,,Jordan
France,2008,,Jordan
Germany (FRG),2008,,Jordan
Iraq,2008,,Jordan
Israel,2008,,Jordan
Italy,2008,,Jordan
Netherlands,2008,,Jordan
Poland,2008,,Jordan
Russia,2008,,Jordan
South Africa,2008,,Jordan
South Korea,2008,,Jordan
Soviet Union,2008,,Jordan
Spain,2008,,Jordan
Turkey,2008,,Jordan
UAE,2008,,Jordan
Ukraine,2008,33,Jordan
United Kingdom,2008,,Jordan
United States,2008,32,Jordan
Unknown supplier(s),2008,,Jordan
Australia,2009,,Jordan
Austria,2009,,Jordan
Belgium,2009,91,Jordan
Brazil,2009,,Jordan
Canada,2009,,Jordan
China,2009,,Jordan
France,2009,,Jordan
