,Exporting Country,Year,Exports in Millions,Importing Country
126,Pakistan,2000,,syria
127,Russia,2000,9.0,syria
128,Slovakia,2000,,syria
129,Soviet Union,2000,,syria
130,Belarus,2001,,syria
131,Bulgaria,2001,,syria
132,China,2001,,syria
133,Czechoslovakia,2001,,syria
134,Iran,2001,,syria
135,North Korea,2001,20.0,syria
136,Pakistan,2001,,syria
137,Russia,2001,8.0,syria
138,Slovakia,2001,,syria
139,Soviet Union,2001,,syria
140,Belarus,2002,,syria
141,Bulgaria,2002,,syria
142,China,2002,,syria
143,Czechoslovakia,2002,,syria
144,Iran,2002,,syria
145,North Korea,2002,20.0,syria
146,Pakistan,2002,,syria
147,Russia,2002,25.0,syria
148,Slovakia,2002,,syria
149,Soviet Union,2002,,syria
150,Belarus,2003,24.0,syria
151,Bulgaria,2003,,syria
152,China,2003,,syria
153,Czechoslovakia,2003,,syria
154,Iran,2003,,syria
155,North Korea,2003,20.0,syria
156,Pakistan,2003,,syria
157,Russia,2003,25.0,syria
158,Slovakia,2003,,syria
159,Soviet Union,2003,,syria
160,Belarus,2004,,syria
161,Bulgaria,2004,,syria
162,China,2004,,syria
163,Czechoslovakia,2004,,syria
164,Iran,2004,,syria
165,North Korea,2004,20.0,syria
166,Pakistan,2004,,syria
167,Russia,2004,5.0,syria
168,Slovakia,2004,,syria
169,Soviet Union,2004,,syria
170,Belarus,2005,,syria
171,Bulgaria,2005,,syria
172,China,2005,,syria
173,Czechoslovakia,2005,,syria
174,Iran,2005,,syria
175,North Korea,2005,20.0,syria
176,Pakistan,2005,,syria
177,Russia,2005,15.0,syria
178,Slovakia,2005,,syria
179,Soviet Union,2005,,syria
180,Belarus,2006,,syria
181,Bulgaria,2006,,syria
182,China,2006,,syria
183,Czechoslovakia,2006,,syria
184,Iran,2006,54.0,syria
185,North Korea,2006,20.0,syria
186,Pakistan,2006,,syria
187,Russia,2006,26.0,syria
188,Slovakia,2006,,syria
189,Soviet Union,2006,,syria
190,Belarus,2007,,syria
191,Bulgaria,2007,,syria
192,China,2007,,syria
193,Czechoslovakia,2007,,syria
194,Iran,2007,,syria
195,North Korea,2007,20.0,syria
196,Pakistan,2007,,syria
197,Russia,2007,,syria
198,Slovakia,2007,,syria
199,Soviet Union,2007,,syria
200,Belarus,2008,172.0,syria
201,Bulgaria,2008,,syria
202,China,2008,,syria
203,Czechoslovakia,2008,,syria
204,Iran,2008,40.0,syria
205,North Korea,2008,20.0,syria
206,Pakistan,2008,,syria
207,Russia,2008,44.0,syria
208,Slovakia,2008,,syria
209,Soviet Union,2008,,syria
210,Belarus,2009,,syria
211,Bulgaria,2009,,syria
212,China,2009,56.0,syria
213,Czechoslovakia,2009,,syria
214,Iran,2009,45.0,syria
215,North Korea,2009,20.0,syria
216,Pakistan,2009,,syria
217,Russia,2009,72.0,syria
218,Slovakia,2009,,syria
219,Soviet Union,2009,,syria
220,Belarus,2010,,syria
221,Bulgaria,2010,,syria
222,China,2010,15.0,syria
223,Czechoslovakia,2010,,syria
224,Iran,2010,45.0,syria
225,North Korea,2010,,syria
226,Pakistan,2010,,syria
227,Russia,2010,238.0,syria
228,Slovakia,2010,,syria
229,Soviet Union,2010,,syria
230,Belarus,2011,,syria
231,Bulgaria,2011,,syria
232,China,2011,,syria
233,Czechoslovakia,2011,,syria
234,Iran,2011,86.0,syria
235,North Korea,2011,,syria
236,Pakistan,2011,,syria
237,Russia,2011,282.0,syria
238,Slovakia,2011,,syria
239,Soviet Union,2011,,syria
240,Belarus,2012,,syria
241,Bulgaria,2012,,syria
242,China,2012,,syria
243,Czechoslovakia,2012,,syria
244,Iran,2012,20.0,syria
245,North Korea,2012,,syria
246,Pakistan,2012,,syria
247,Russia,2012,351.0,syria
248,Slovakia,2012,,syria
249,Soviet Union,2012,,syria
250,Belarus,2013,,syria
251,Bulgaria,2013,,syria
252,China,2013,,syria
253,Czechoslovakia,2013,,syria
254,Iran,2013,10.0,syria
255,North Korea,2013,,syria
256,Pakistan,2013,,syria
257,Russia,2013,351.0,syria
258,Slovakia,2013,,syria
259,Soviet Union,2013,,syria
260,Belarus,2014,,syria
261,Bulgaria,2014,,syria
262,China,2014,5.0,syria
263,Czechoslovakia,2014,,syria
264,Iran,2014,10.0,syria
265,North Korea,2014,,syria
266,Pakistan,2014,,syria
267,Russia,2014,,syria
268,Slovakia,2014,,syria
269,Soviet Union,2014,,syria
270,Belarus,2015,,syria
271,Bulgaria,2015,,syria
272,China,2015,,syria
273,Czechoslovakia,2015,,syria
274,Iran,2015,,syria
275,North Korea,2015,,syria
276,Pakistan,2015,,syria
277,Russia,2015,,syria
278,Slovakia,2015,,syria
279,Soviet Union,2015,,syria
280,Belarus,2016,,syria
281,Bulgaria,2016,,syria
282,China,2016,,syria
283,Czechoslovakia,2016,,syria
284,Iran,2016,,syria
285,North Korea,2016,,syria
286,Pakistan,2016,,syria
287,Russia,2016,,syria
288,Slovakia,2016,,syria
289,Soviet Union,2016,,syria
