,Exporting Country,Year,Exports in Millions,Importing Country
110,France,1997,,bahrain
111,Germany (FRG),1997,,bahrain
112,Malta,1997,,bahrain
113,Netherlands,1997,0.0,bahrain
114,Oman,1997,,bahrain
115,Sweden,1997,,bahrain
116,Turkey,1997,,bahrain
117,UAE,1997,,bahrain
118,United Kingdom,1997,,bahrain
119,United States,1997,198.0,bahrain
120,Belgium,1998,,bahrain
121,China,1998,,bahrain
122,France,1998,,bahrain
123,Germany (FRG),1998,,bahrain
124,Malta,1998,,bahrain
125,Netherlands,1998,3.0,bahrain
126,Oman,1998,,bahrain
127,Sweden,1998,,bahrain
128,Turkey,1998,,bahrain
129,UAE,1998,,bahrain
130,United Kingdom,1998,,bahrain
131,United States,1998,4.0,bahrain
132,Belgium,1999,,bahrain
133,China,1999,,bahrain
134,France,1999,,bahrain
135,Germany (FRG),1999,,bahrain
136,Malta,1999,,bahrain
137,Netherlands,1999,,bahrain
138,Oman,1999,,bahrain
139,Sweden,1999,,bahrain
140,Turkey,1999,,bahrain
141,UAE,1999,,bahrain
142,United Kingdom,1999,,bahrain
143,United States,1999,,bahrain
144,Belgium,2000,,bahrain
145,China,2000,,bahrain
146,France,2000,,bahrain
147,Germany (FRG),2000,,bahrain
148,Malta,2000,,bahrain
149,Netherlands,2000,,bahrain
150,Oman,2000,,bahrain
151,Sweden,2000,,bahrain
152,Turkey,2000,,bahrain
153,UAE,2000,,bahrain
154,United Kingdom,2000,,bahrain
155,United States,2000,299.0,bahrain
156,Belgium,2001,,bahrain
157,China,2001,,bahrain
158,France,2001,,bahrain
159,Germany (FRG),2001,,bahrain
160,Malta,2001,,bahrain
161,Netherlands,2001,,bahrain
162,Oman,2001,,bahrain
163,Sweden,2001,,bahrain
164,Turkey,2001,,bahrain
165,UAE,2001,,bahrain
166,United Kingdom,2001,25.0,bahrain
167,United States,2001,5.0,bahrain
168,Belgium,2002,,bahrain
169,China,2002,,bahrain
170,France,2002,,bahrain
171,Germany (FRG),2002,,bahrain
172,Malta,2002,,bahrain
173,Netherlands,2002,,bahrain
174,Oman,2002,,bahrain
175,Sweden,2002,,bahrain
176,Turkey,2002,,bahrain
177,UAE,2002,,bahrain
178,United Kingdom,2002,,bahrain
179,United States,2002,54.0,bahrain
180,Belgium,2003,,bahrain
181,China,2003,,bahrain
182,France,2003,,bahrain
183,Germany (FRG),2003,,bahrain
184,Malta,2003,,bahrain
185,Netherlands,2003,,bahrain
186,Oman,2003,,bahrain
187,Sweden,2003,,bahrain
188,Turkey,2003,,bahrain
189,UAE,2003,,bahrain
190,United Kingdom,2003,0.0,bahrain
191,United States,2003,1.0,bahrain
192,Belgium,2004,,bahrain
193,China,2004,,bahrain
194,France,2004,,bahrain
195,Germany (FRG),2004,,bahrain
196,Malta,2004,10.0,bahrain
197,Netherlands,2004,,bahrain
198,Oman,2004,,bahrain
199,Sweden,2004,,bahrain
200,Turkey,2004,,bahrain
201,UAE,2004,,bahrain
202,United Kingdom,2004,,bahrain
203,United States,2004,,bahrain
204,Belgium,2005,,bahrain
205,China,2005,,bahrain
206,France,2005,,bahrain
207,Germany (FRG),2005,,bahrain
208,Malta,2005,,bahrain
209,Netherlands,2005,,bahrain
210,Oman,2005,1.0,bahrain
211,Sweden,2005,,bahrain
212,Turkey,2005,3.0,bahrain
213,UAE,2005,,bahrain
214,United Kingdom,2005,,bahrain
215,United States,2005,63.0,bahrain
216,Belgium,2006,,bahrain
217,China,2006,,bahrain
218,France,2006,,bahrain
219,Germany (FRG),2006,,bahrain
220,Malta,2006,,bahrain
221,Netherlands,2006,,bahrain
222,Oman,2006,,bahrain
223,Sweden,2006,,bahrain
224,Turkey,2006,,bahrain
225,UAE,2006,,bahrain
226,United Kingdom,2006,60.0,bahrain
227,United States,2006,3.0,bahrain
228,Belgium,2007,,bahrain
229,China,2007,,bahrain
230,France,2007,,bahrain
231,Germany (FRG),2007,,bahrain
232,Malta,2007,,bahrain
233,Netherlands,2007,,bahrain
234,Oman,2007,,bahrain
235,Sweden,2007,,bahrain
236,Turkey,2007,,bahrain
237,UAE,2007,,bahrain
238,United Kingdom,2007,,bahrain
239,United States,2007,26.0,bahrain
240,Belgium,2008,16.0,bahrain
241,China,2008,,bahrain
242,France,2008,,bahrain
243,Germany (FRG),2008,,bahrain
244,Malta,2008,,bahrain
245,Netherlands,2008,,bahrain
246,Oman,2008,,bahrain
247,Sweden,2008,,bahrain
248,Turkey,2008,2.0,bahrain
249,UAE,2008,,bahrain
250,United Kingdom,2008,,bahrain
251,United States,2008,2.0,bahrain
252,Belgium,2009,,bahrain
253,China,2009,,bahrain
254,France,2009,,bahrain
255,Germany (FRG),2009,,bahrain
256,Malta,2009,,bahrain
257,Netherlands,2009,,bahrain
258,Oman,2009,,bahrain
259,Sweden,2009,,bahrain
260,Turkey,2009,,bahrain
261,UAE,2009,,bahrain
262,United Kingdom,2009,,bahrain
263,United States,2009,,bahrain
264,Belgium,2010,,bahrain
265,China,2010,,bahrain
266,France,2010,17.0,bahrain
267,Germany (FRG),2010,,bahrain
268,Malta,2010,,bahrain
269,Netherlands,2010,,bahrain
270,Oman,2010,,bahrain
271,Sweden,2010,,bahrain
272,Turkey,2010,4.0,bahrain
273,UAE,2010,15.0,bahrain
274,United Kingdom,2010,,bahrain
275,United States,2010,68.0,bahrain
276,Belgium,2011,,bahrain
277,China,2011,,bahrain
278,France,2011,1.0,bahrain
279,Germany (FRG),2011,,bahrain
280,Malta,2011,,bahrain
281,Netherlands,2011,,bahrain
282,Oman,2011,,bahrain
283,Sweden,2011,,bahrain
284,Turkey,2011,,bahrain
285,UAE,2011,,bahrain
286,United Kingdom,2011,,bahrain
287,United States,2011,,bahrain
288,Belgium,2012,,bahrain
289,China,2012,,bahrain
290,France,2012,1.0,bahrain
291,Germany (FRG),2012,,bahrain
292,Malta,2012,,bahrain
293,Netherlands,2012,,bahrain
294,Oman,2012,,bahrain
295,Sweden,2012,,bahrain
296,Turkey,2012,25.0,bahrain
297,UAE,2012,,bahrain
298,United Kingdom,2012,,bahrain
299,United States,2012,,bahrain
300,Belgium,2013,,bahrain
301,China,2013,,bahrain
302,France,2013,1.0,bahrain
303,Germany (FRG),2013,,bahrain
304,Malta,2013,,bahrain
305,Netherlands,2013,,bahrain
306,Oman,2013,,bahrain
307,Sweden,2013,,bahrain
308,Turkey,2013,11.0,bahrain
309,UAE,2013,,bahrain
310,United Kingdom,2013,,bahrain
311,United States,2013,60.0,bahrain
312,Belgium,2014,,bahrain
313,China,2014,,bahrain
314,France,2014,1.0,bahrain
315,Germany (FRG),2014,,bahrain
316,Malta,2014,,bahrain
317,Netherlands,2014,,bahrain
318,Oman,2014,,bahrain
319,Sweden,2014,,bahrain
320,Turkey,2014,,bahrain
321,UAE,2014,,bahrain
322,United Kingdom,2014,,bahrain
323,United States,2014,,bahrain
324,Belgium,2015,2.0,bahrain
325,China,2015,,bahrain
326,France,2015,,bahrain
327,Germany (FRG),2015,,bahrain
328,Malta,2015,,bahrain
329,Netherlands,2015,,bahrain
330,Oman,2015,,bahrain
331,Sweden,2015,,bahrain
332,Turkey,2015,,bahrain
333,UAE,2015,,bahrain
334,United Kingdom,2015,,bahrain
335,United States,2015,15.0,bahrain
336,Belgium,2016,3.0,bahrain
337,China,2016,4.0,bahrain
338,France,2016,,bahrain
339,Germany (FRG),2016,,bahrain
340,Malta,2016,,bahrain
341,Netherlands,2016,,bahrain
342,Oman,2016,,bahrain
343,Sweden,2016,,bahrain
344,Turkey,2016,,bahrain
345,UAE,2016,,bahrain
346,United Kingdom,2016,,bahrain
347,United States,2016,,bahrain
